3,4395,tanh,ANo,0.046334,0.172451,1000,adam --78.52157497406006 seconds
3,3129,tanh,ANo,0.046314,0.199403,1000,adam --160.59156775474548 seconds
3,277,tanh,ANo,0.046400,0.219330,1000,adam --244.4404890537262 seconds
3,9871,tanh,ANo,0.046340,0.201592,1000,adam --328.7544832229614 seconds
3,5183,tanh,ANo,0.046321,0.190948,1000,adam --414.40405106544495 seconds
3,6082,tanh,ANo,0.046325,0.196823,1000,adam --497.9604470729828 seconds
3,810,tanh,ANo,0.046340,0.174533,1000,adam --586.0198855400085 seconds
3,6979,tanh,ANo,0.046334,0.184994,1000,adam --674.420793056488 seconds
3,2654,tanh,ANo,0.046337,0.183300,1000,adam --762.5062668323517 seconds
3,5765,tanh,ANo,0.046339,0.177846,1000,adam --849.7101621627808 seconds
6,4395,tanh,ANo,0.046340,0.169178,1000,adam --940.217954158783 seconds
6,3129,tanh,ANo,0.046336,0.183624,1000,adam --1031.0978066921234 seconds
6,277,tanh,ANo,0.046386,0.195430,1000,adam --1124.2671570777893 seconds
6,9871,tanh,ANo,0.046355,0.162427,1000,adam --1220.6065695285797 seconds
6,5183,tanh,ANo,0.046328,0.186666,1000,adam --1314.3605947494507 seconds
6,6082,tanh,ANo,0.046339,0.193601,1000,adam --1407.5403163433075 seconds
6,810,tanh,ANo,0.046347,0.174636,1000,adam --1499.796730041504 seconds
6,6979,tanh,ANo,0.046319,0.181591,1000,adam --1595.9436094760895 seconds
6,2654,tanh,ANo,0.046354,0.198988,1000,adam --1692.645287513733 seconds
6,5765,tanh,ANo,0.046330,0.182940,1000,adam --1790.4454555511475 seconds
9,4395,tanh,ANo,0.046328,0.179556,1000,adam --1889.1334028244019 seconds
9,3129,tanh,ANo,0.046326,0.186684,1000,adam --1989.7995972633362 seconds
9,277,tanh,ANo,0.046396,0.219751,1000,adam --2091.83611035347 seconds
9,9871,tanh,ANo,0.046370,0.196516,1000,adam --2193.081220149994 seconds
9,5183,tanh,ANo,0.046318,0.187242,1000,adam --2296.529072523117 seconds
9,6082,tanh,ANo,0.046340,0.191302,1000,adam --2400.1503434181213 seconds
9,810,tanh,ANo,0.046368,0.198979,1000,adam --2505.4048767089844 seconds
9,6979,tanh,ANo,0.046324,0.189685,1000,adam --2608.4131083488464 seconds
9,2654,tanh,ANo,0.046361,0.206387,1000,adam --2715.1352519989014 seconds
9,5765,tanh,ANo,0.046335,0.186387,1000,adam --2823.70565366745 seconds
12,4395,tanh,ANo,0.046326,0.178695,1000,adam --2932.1097762584686 seconds
12,3129,tanh,ANo,0.046348,0.191291,1000,adam --3040.11381649971 seconds
12,277,tanh,ANo,0.046396,0.207190,1000,adam --3152.6690809726715 seconds
12,9871,tanh,ANo,0.046367,0.201171,1000,adam --3263.303117990494 seconds
12,5183,tanh,ANo,0.046318,0.184077,1000,adam --3373.2345130443573 seconds
12,6082,tanh,ANo,0.046327,0.188399,1000,adam --3484.9772205352783 seconds
12,810,tanh,ANo,0.046358,0.197375,1000,adam --3598.9549763202667 seconds
12,6979,tanh,ANo,0.046330,0.171334,1000,adam --3714.036289215088 seconds
12,2654,tanh,ANo,0.046360,0.177709,1000,adam --3829.451630592346 seconds
12,5765,tanh,ANo,0.046328,0.186864,1000,adam --3946.1223981380463 seconds
